order_id,order_date,order_time,customer_id,store_id,order_source,platform
O00174,2025-03-28,07:30:00,C10331,S06,Online,Zomato
O00175,2025-03-10,12:06:00,C10636,S04,Store,In Store
O00176,2025-02-06,20:36:00,C199,S07,Store,In Store
O00177,2025-03-29,10:28:00,C11042,S01,Store,In Store
O00178,2025-03-13,14:04:00,C13806,S08,Online,Starbucks App
O00179,2025-03-09,15:25:00,C13370,S08,Online,Zomato
O00180,2025-03-06,19:08:00,C12284,S04,Store,In Store
O00181,2025-01-08,19:08:00,C16535,S02,Store,In Store
O00182,2025-01-11,16:02:00,C8515,S03,Store,In Store
O00183,2025-03-27,19:15:00,C16915,S08,Online,Starbucks App
O00184,2025-03-17,15:34:00,C12898,S02,Online,Swiggy
O00185,2025-02-14,09:27:00,C8350,S03,Online,Starbucks App
O00186,2025-01-25,20:07:00,C5747,S07,Online,Starbucks App
O00187,2025-01-12,19:00:00,C17738,S04,Store,In Store
O00188,2025-03-06,10:51:00,C14599,S08,Online,Zomato
O00189,2025-03-12,18:20:00,C1759,S01,Store,In Store
O00190,2025-02-07,19:34:00,C11094,S02,Store,In Store
O00191,2025-03-04,07:10:00,C10681,S08,Online,Swiggy
O00192,2025-02-23,22:05:00,C10619,S05,Store,In Store
O00193,2025-03-31,13:50:00,C327,S06,Online,Starbucks App
O00194,2025-01-20,12:44:00,C1639,S01,Store,In Store
O00195,2025-02-22,15:30:00,C17008,S01,Store,In Store
O00196,2025-01-24,10:39:00,C11152,S05,Online,Swiggy
O00197,2025-03-27,13:53:00,C9735,S04,Online,Starbucks App
O00198,2025-03-22,16:06:00,C3201,S07,Store,In Store
O00199,2025-02-15,09:34:00,C12742,S07,Store,In Store
O00200,2025-01-13,08:07:00,C15808,S06,Store,In Store
O00201,2025-02-22,14:42:00,C19172,S07,Online,Starbucks App
O00202,2025-01-26,11:30:00,C7399,S05,Online,Zomato
O00203,2025-01-28,14:38:00,C5773,S04,Store,In Store
O00204,2025-02-21,20:40:00,C12977,S01,Store,In Store
O00205,2025-01-19,11:26:00,C1367,S02,Online,Swiggy
O00206,2025-03-31,15:50:00,C19472,S03,Online,Zomato
O00207,2025-02-10,11:36:00,C10344,S01,Online,Zomato
O00208,2025-02-17,18:05:00,C2011,S02,Store,In Store
O00209,2025-01-17,12:28:00,C2861,S02,Store,In Store
O00210,2025-03-22,09:24:00,C16710,S07,Store,In Store
O00211,2025-03-26,13:11:00,C17045,S02,Online,Zomato
O00212,2025-02-08,16:32:00,C12681,S01,Online,Starbucks App
O00213,2025-02-27,11:41:00,C11580,S05,Online,Starbucks App
O00214,2025-01-02,09:49:00,C6025,S07,Online,Starbucks App
O00215,2025-03-30,13:32:00,C3689,S03,Store,In Store
O00216,2025-03-04,18:15:00,C4446,S03,Store,In Store
O00217,2025-01-17,15:40:00,C8369,S04,Online,Starbucks App
O00218,2025-03-28,07:32:00,C10491,S03,Store,In Store
O00219,2025-01-24,07:31:00,C8455,S08,Store,In Store
O00220,2025-01-26,22:08:00,C7816,S05,Online,Swiggy
O00221,2025-01-11,13:49:00,C9724,S01,Online,Swiggy
O00222,2025-03-30,21:41:00,C6852,S08,Store,In Store
O00223,2025-01-23,20:39:00,C18017,S08,Store,In Store
O00224,2025-03-30,19:05:00,C1998,S08,Online,Zomato
O00225,2025-03-27,14:01:00,C675,S07,Online,Starbucks App
O00226,2025-01-06,10:07:00,C93,S06,Store,In Store
O00227,2025-02-19,18:12:00,C5708,S03,Online,Swiggy
O00228,2025-03-17,17:07:00,C8460,S05,Online,Zomato
O00229,2025-02-10,14:19:00,C12018,S08,Store,In Store
O00230,2025-02-06,22:51:00,C3560,S05,Store,In Store
O00231,2025-02-04,14:03:00,C16818,S08,Store,In Store
O00232,2025-01-26,10:40:00,C15735,S05,Online,Zomato
O00233,2025-03-13,21:08:00,C4421,S08,Store,In Store
O00234,2025-02-05,15:20:00,C6702,S05,Online,Starbucks App
O00235,2025-03-13,13:01:00,C18669,S08,Store,In Store
O00236,2025-01-27,08:56:00,C2995,S04,Online,Zomato
O00237,2025-02-27,20:20:00,C171,S08,Store,In Store
O00238,2025-03-29,15:01:00,C14425,S03,Online,Swiggy
O00239,2025-03-31,20:58:00,C5908,S07,Online,Zomato
O00240,2025-01-01,13:41:00,C16116,S05,Online,Zomato
O00241,2025-03-06,18:26:00,C16553,S07,Store,In Store
O00242,2025-03-19,07:26:00,C17068,S02,Online,Starbucks App
O00243,2025-02-23,07:25:00,C13157,S05,Online,Zomato
O00244,2025-02-11,15:00:00,C3128,S08,Store,In Store
O00245,2025-01-09,10:00:00,C15969,S04,Online,Swiggy
O00246,2025-03-11,19:26:00,C19304,S06,Store,In Store
O00247,2025-03-24,19:34:00,C2617,S01,Online,Swiggy
O00248,2025-02-23,14:46:00,C14493,S06,Store,In Store
O00249,2025-02-19,19:16:00,C5755,S01,Store,In Store
O00250,2025-02-13,22:39:00,C6499,S04,Store,In Store
O00251,2025-02-24,10:23:00,C19049,S07,Store,In Store
O00252,2025-02-25,08:32:00,C6067,S05,Store,In Store
O00253,2025-03-19,21:37:00,C19501,S04,Store,In Store
O00254,2025-01-09,21:01:00,C3498,S08,Online,Swiggy
O00255,2025-03-01,21:17:00,C841,S05,Online,Starbucks App
O00256,2025-03-09,07:20:00,C11122,S04,Online,Zomato
O00257,2025-01-23,17:25:00,C3999,S02,Store,In Store
O00258,2025-03-17,17:11:00,C15243,S02,Online,Starbucks App
O00259,2025-01-26,22:19:00,C1854,S07,Store,In Store
O00260,2025-02-17,20:32:00,C15334,S04,Online,Swiggy
O00261,2025-01-06,22:00:00,C18826,S07,Store,In Store
O00262,2025-02-07,08:10:00,C8994,S05,Online,Swiggy
O00263,2025-02-15,16:05:00,C8518,S03,Store,In Store
O00264,2025-02-07,16:08:00,C18291,S05,Store,In Store
O00265,2025-01-22,07:48:00,C18388,S02,Store,In Store
O00266,2025-03-06,17:24:00,C8865,S04,Online,Swiggy
O00267,2025-01-15,21:56:00,C7852,S08,Store,In Store
O00268,2025-01-16,19:07:00,C19361,S01,Online,Starbucks App
O00269,2025-02-08,20:00:00,C2108,S03,Online,Swiggy
O00270,2025-02-16,20:07:00,C9817,S08,Store,In Store
O00271,2025-01-19,16:15:00,C18038,S07,Online,Swiggy
O00272,2025-01-11,07:12:00,C8363,S06,Store,In Store
O00273,2025-01-29,17:18:00,C8329,S07,Store,In Store
O00274,2025-02-28,18:41:00,C2555,S06,Store,In Store
O00275,2025-03-03,09:09:00,C10744,S06,Online,Zomato
O00276,2025-03-15,09:58:00,C12033,S06,Store,In Store
O00277,2025-02-25,15:13:00,C10106,S03,Store,In Store
O00278,2025-01-28,22:39:00,C18238,S05,Store,In Store
O00279,2025-01-27,20:18:00,C16986,S05,Store,In Store
O00280,2025-03-26,09:43:00,C2346,S03,Online,Starbucks App
O00281,2025-02-17,10:06:00,C9703,S04,Online,Starbucks App
O00282,2025-03-14,17:37:00,C6825,S02,Online,Zomato
O00283,2025-01-18,18:52:00,C14289,S05,Online,Zomato
O00284,2025-01-30,20:26:00,C12200,S08,Online,Swiggy
O00285,2025-02-09,15:19:00,C12703,S03,Store,In Store
O00286,2025-02-28,20:41:00,C5966,S05,Store,In Store
O00287,2025-02-06,08:53:00,C7020,S05,Store,In Store
O00288,2025-03-24,11:55:00,C19301,S02,Online,Swiggy
O00289,2025-02-26,14:13:00,C13812,S01,Store,In Store
O00290,2025-03-12,16:27:00,C12753,S08,Store,In Store
O00291,2025-02-21,16:48:00,C10437,S04,Online,Swiggy
O00292,2025-03-31,18:08:00,C6202,S01,Store,In Store
O00293,2025-03-04,19:18:00,C17464,S06,Store,In Store
O00294,2025-02-16,09:54:00,C5507,S06,Store,In Store
O00295,2025-03-10,12:04:00,C11378,S06,Online,Starbucks App
O00296,2025-01-04,10:28:00,C5880,S01,Store,In Store
O00297,2025-01-23,11:04:00,C17068,S01,Store,In Store
O00298,2025-02-23,22:52:00,C15419,S07,Store,In Store
O00299,2025-01-12,22:20:00,C10107,S02,Online,Swiggy
O00300,2025-01-24,21:02:00,C12978,S01,Store,In Store
O00301,2025-01-24,13:43:00,C11175,S06,Online,Starbucks App
O00302,2025-03-29,11:44:00,C10627,S07,Online,Zomato
O00303,2025-03-12,18:10:00,C1924,S01,Store,In Store
O00304,2025-01-23,09:30:00,C2459,S08,Online,Swiggy
O00305,2025-02-02,11:46:00,C7097,S06,Store,In Store
O00306,2025-01-01,22:53:00,C5842,S01,Online,Swiggy
O00307,2025-01-26,10:28:00,C15552,S08,Store,In Store
O00308,2025-02-12,07:02:00,C12731,S07,Store,In Store
O00309,2025-03-29,11:08:00,C7236,S08,Online,Swiggy
O00310,2025-02-28,09:18:00,C620,S03,Online,Starbucks App
O00311,2025-01-08,13:20:00,C5118,S07,Online,Swiggy
O00312,2025-01-03,09:00:00,C8988,S02,Online,Zomato
O00313,2025-01-29,19:23:00,C14676,S07,Online,Zomato
O00314,2025-02-08,11:09:00,C6222,S07,Store,In Store
O00315,2025-03-24,20:07:00,C16846,S05,Online,Swiggy
O00316,2025-03-27,17:32:00,C4727,S07,Store,In Store
O00317,2025-02-03,07:48:00,C15306,S08,Online,Swiggy
O00318,2025-02-24,21:46:00,C9669,S08,Online,Starbucks App
O00319,2025-03-18,19:16:00,C12333,S04,Store,In Store
O00320,2025-01-10,11:07:00,C9575,S05,Store,In Store
O00321,2025-01-14,12:30:00,C5961,S08,Online,Swiggy
O00322,2025-01-15,22:33:00,C19878,S06,Online,Swiggy
O00323,2025-02-05,17:04:00,C18380,S05,Online,Swiggy
O00324,2025-03-02,18:40:00,C12778,S08,Store,In Store
O00325,2025-03-21,18:09:00,C8815,S05,Store,In Store
O00326,2025-01-27,13:44:00,C2974,S04,Online,Zomato
O00327,2025-02-09,11:32:00,C6221,S04,Online,Starbucks App
O00328,2025-02-07,19:17:00,C2170,S07,Online,Starbucks App
O00329,2025-02-15,22:23:00,C15693,S04,Store,In Store
O00330,2025-03-20,08:43:00,C2684,S08,Store,In Store
O00331,2025-03-01,09:59:00,C11651,S05,Store,In Store
O00332,2025-02-24,12:07:00,C15735,S01,Online,Swiggy
O00333,2025-02-13,17:27:00,C15325,S08,Online,Swiggy
O00334,2025-02-15,10:06:00,C1481,S04,Online,Starbucks App
O00335,2025-03-28,17:17:00,C19337,S07,Online,Swiggy
O00336,2025-03-21,11:38:00,C4083,S07,Online,Swiggy
O00337,2025-02-22,22:02:00,C1088,S04,Store,In Store
O00338,2025-01-10,09:23:00,C13562,S04,Online,Starbucks App
O00339,2025-03-01,08:30:00,C14389,S08,Store,In Store
O00340,2025-01-03,20:59:00,C1017,S01,Online,Starbucks App
O00341,2025-03-26,13:15:00,C13300,S05,Online,Starbucks App
O00342,2025-02-18,10:27:00,C16205,S06,Store,In Store
O00343,2025-03-19,21:05:00,C15315,S02,Online,Swiggy
O00344,2025-02-25,14:42:00,C15743,S02,Store,In Store
O00345,2025-01-05,10:21:00,C15241,S08,Store,In Store
O00346,2025-01-13,17:52:00,C15246,S06,Online,Starbucks App
O00347,2025-01-03,10:05:00,C660,S08,Store,In Store
O00348,2025-03-28,18:25:00,C14400,S03,Online,Zomato
O00349,2025-03-15,07:54:00,C19223,S05,Online,Zomato
O00350,2025-03-17,09:42:00,C2642,S04,Store,In Store
O00351,2025-02-24,17:23:00,C5959,S07,Store,In Store
O00352,2025-03-01,13:56:00,C13335,S01,Online,Swiggy
O00353,2025-03-02,16:14:00,C8106,S02,Online,Zomato
O00354,2025-03-22,17:34:00,C18947,S07,Store,In Store
O00355,2025-02-22,21:21:00,C2861,S01,Store,In Store
O00356,2025-01-07,20:24:00,C1224,S01,Online,Zomato
O00357,2025-01-02,10:38:00,C8122,S06,Store,In Store
O00358,2025-03-18,20:03:00,C5822,S04,Online,Starbucks App
O00359,2025-01-19,11:47:00,C11482,S07,Online,Zomato
O00360,2025-01-10,18:07:00,C8379,S01,Store,In Store
O00361,2025-03-21,22:22:00,C19987,S06,Store,In Store
O00362,2025-02-18,18:46:00,C1487,S05,Store,In Store
O00363,2025-02-11,07:15:00,C7990,S07,Store,In Store
O00364,2025-02-10,12:04:00,C12773,S06,Store,In Store
O00365,2025-01-18,08:59:00,C10147,S05,Store,In Store
O00366,2025-03-30,20:05:00,C3050,S05,Store,In Store
O00367,2025-03-10,17:25:00,C13880,S06,Store,In Store
O00368,2025-02-18,10:26:00,C2446,S04,Store,In Store
O00369,2025-03-10,12:08:00,C11118,S02,Store,In Store
O00370,2025-02-17,12:44:00,C14601,S05,Online,Starbucks App
O00371,2025-02-24,12:35:00,C19526,S03,Online,Zomato
O00372,2025-03-19,20:32:00,C19942,S05,Online,Swiggy
O00373,2025-02-08,13:23:00,C9403,S05,Store,In Store
O00374,2025-01-30,18:07:00,C4678,S05,Online,Swiggy
O00375,2025-01-13,20:38:00,C16149,S02,Online,Zomato
O00376,2025-01-10,21:18:00,C17098,S08,Store,In Store
O00377,2025-01-14,15:57:00,C14287,S04,Online,Starbucks App
O00378,2025-03-21,11:38:00,C16123,S04,Online,Starbucks App
O00379,2025-02-17,09:05:00,C7786,S08,Online,Starbucks App
O00380,2025-03-18,12:43:00,C13817,S01,Online,Swiggy
O00381,2025-03-23,10:15:00,C9487,S05,Store,In Store
O00382,2025-01-04,11:41:00,C17367,S06,Store,In Store
O00383,2025-01-27,11:51:00,C10297,S03,Store,In Store
O00384,2025-01-09,15:34:00,C18023,S04,Online,Zomato
O00385,2025-01-10,19:50:00,C9869,S06,Store,In Store
O00386,2025-01-08,08:08:00,C15808,S08,Store,In Store
O00387,2025-03-25,19:42:00,C7337,S06,Store,In Store
O00388,2025-03-11,15:13:00,C2846,S07,Store,In Store
O00389,2025-01-14,22:14:00,C7103,S02,Online,Starbucks App
O00390,2025-02-02,15:05:00,C12342,S04,Online,Swiggy
O00391,2025-03-25,16:57:00,C10351,S01,Store,In Store
O00392,2025-01-17,22:31:00,C10066,S04,Store,In Store
O00393,2025-01-11,12:12:00,C14695,S05,Online,Zomato
O00394,2025-02-26,18:58:00,C10351,S05,Store,In Store
O00395,2025-01-21,17:13:00,C13156,S05,Online,Zomato
O00396,2025-02-22,18:37:00,C3105,S07,Store,In Store
O00397,2025-02-16,07:10:00,C3107,S08,Store,In Store
O00398,2025-03-13,20:26:00,C14461,S04,Store,In Store
O00399,2025-01-14,21:39:00,C7372,S05,Store,In Store
O00400,2025-01-04,22:59:00,C391,S02,Online,Swiggy
O00401,2025-02-21,11:27:00,C14754,S08,Online,Starbucks App
O00402,2025-03-04,07:00:00,C2135,S02,Store,In Store
O00403,2025-01-09,21:41:00,C11444,S08,Store,In Store
O00404,2025-03-24,07:34:00,C4783,S03,Online,Swiggy
O00405,2025-01-15,19:07:00,C6889,S06,Store,In Store
O00406,2025-03-24,15:05:00,C9522,S05,Store,In Store
O00407,2025-01-31,15:02:00,C8853,S08,Online,Starbucks App
O00408,2025-01-15,20:24:00,C3576,S07,Store,In Store
O00409,2025-01-14,17:15:00,C11311,S08,Store,In Store
O00410,2025-01-05,21:51:00,C15800,S03,Store,In Store
O00411,2025-03-12,14:11:00,C9226,S06,Online,Starbucks App
O00412,2025-01-12,14:43:00,C12044,S01,Store,In Store
O00413,2025-03-09,14:51:00,C5474,S01,Store,In Store
O00414,2025-03-15,09:38:00,C16092,S08,Store,In Store
O00415,2025-01-23,15:44:00,C9626,S02,Online,Zomato
O00416,2025-03-20,16:08:00,C17491,S06,Online,Swiggy
O00417,2025-02-28,07:51:00,C455,S01,Online,Starbucks App
O00418,2025-01-13,09:05:00,C4855,S01,Online,Starbucks App
O00419,2025-03-14,17:03:00,C806,S02,Online,Swiggy
O00420,2025-02-08,21:52:00,C9261,S04,Store,In Store
O00421,2025-03-26,13:08:00,C4310,S02,Online,Starbucks App
O00422,2025-01-15,07:58:00,C1880,S02,Online,Starbucks App
O00423,2025-01-05,07:47:00,C8519,S04,Online,Swiggy
O00424,2025-03-26,17:21:00,C16861,S03,Online,Starbucks App
O00425,2025-01-27,21:25:00,C13101,S06,Online,Swiggy
O00426,2025-01-17,16:10:00,C3287,S04,Online,Swiggy
O00427,2025-01-23,10:23:00,C15551,S04,Store,In Store
O00428,2025-03-14,10:00:00,C4639,S08,Online,Starbucks App
O00429,2025-02-11,18:52:00,C16804,S06,Online,Zomato
O00430,2025-01-14,18:48:00,C12743,S01,Store,In Store
O00431,2025-01-08,13:01:00,C9537,S02,Store,In Store
O00432,2025-02-18,21:35:00,C11865,S01,Store,In Store
O00433,2025-03-21,17:04:00,C18092,S08,Store,In Store
O00434,2025-01-28,15:24:00,C19123,S03,Store,In Store
O00435,2025-01-30,13:01:00,C13317,S04,Store,In Store
O00436,2025-02-14,11:19:00,C19968,S02,Online,Swiggy
O00437,2025-03-04,22:34:00,C17984,S03,Store,In Store
