bill_id,order_id,customer_id,product_id,quantity,total_amount,payment_method,store_id
B00191,O00191,C10681,P36,1,280,Cash,S03
B00192,O00192,C10619,P19,2,590,Card,S03
B00193,O00193,C327,P40,3,630,Cash,S06
B00194,O00194,C1639,P03,3,825,Card,S01
B00195,O00195,C17008,P19,1,295,Cash,S04
B00196,O00196,C11152,P04,3,780,Cash,S02
B00197,O00197,C9735,P03,1,275,Card,S03
B00198,O00198,C3201,P21,2,670,Cash,S07
B00199,O00199,C12742,P40,1,210,Cash,S04
B00200,O00200,C15808,P38,1,280,Card,S05
B00201,O00201,C19172,P34,2,480,Cash,S03
B00202,O00202,C7399,P34,1,240,Card,S02
B00203,O00203,C5773,P08,1,315,UPI,S02
B00204,O00204,C12977,P07,2,590,Card,S07
B00205,O00205,C1367,P17,1,325,Cash,S03
B00206,O00206,C19472,P20,1,315,Cash,S03
B00207,O00207,C10344,P38,2,560,UPI,S08
B00208,O00208,C2011,P18,3,1035,Card,S06
B00209,O00209,C2861,P09,3,1005,UPI,S06
B00210,O00210,C16710,P10,1,215,Cash,S04
B00211,O00211,C17045,P19,1,295,Cash,S06
B00212,O00212,C12681,P39,2,600,Cash,S07
B00213,O00213,C11580,P35,1,260,Cash,S08
B00214,O00214,C6025,P12,2,510,UPI,S08
B00215,O00215,C3689,P16,3,915,Card,S02
B00216,O00216,C4446,P39,3,900,Cash,S02
B00217,O00217,C8369,P04,2,520,UPI,S05
B00218,O00218,C10491,P16,2,610,UPI,S07
B00219,O00219,C8455,P16,3,915,UPI,S08
B00220,O00220,C7816,P24,1,380,Cash,S04
B00221,O00221,C9724,P02,1,255,Card,S04
B00222,O00222,C6852,P08,2,630,Card,S07
B00223,O00223,C18017,P07,1,295,Cash,S01
B00224,O00224,C1998,P23,3,1080,UPI,S02
B00225,O00225,C675,P11,2,470,UPI,S04
B00226,O00226,C93,P10,1,215,UPI,S07
B00227,O00227,C5708,P12,2,510,Card,S07
B00228,O00228,C8460,P12,2,510,UPI,S08
B00229,O00229,C12018,P08,1,315,Card,S03
B00230,O00230,C3560,P32,2,700,Card,S03
B00231,O00231,C16818,P40,2,420,UPI,S04
B00232,O00232,C15735,P09,2,670,UPI,S04
B00233,O00233,C4421,P25,1,315,UPI,S08
B00234,O00234,C6702,P15,3,960,Cash,S07
B00235,O00235,C18669,P26,3,1005,Cash,S05
B00236,O00236,C2995,P31,2,660,Card,S07
B00237,O00237,C171,P13,1,280,UPI,S07
B00238,O00238,C14425,P42,2,560,Card,S03
B00239,O00239,C5908,P23,2,720,Cash,S01
B00240,O00240,C16116,P23,2,720,Card,S08
B00241,O00241,C16553,P18,2,690,Card,S03
B00242,O00242,C17068,P09,2,670,Card,S08
B00243,O00243,C13157,P16,2,610,Card,S04
B00244,O00244,C3128,P39,2,600,UPI,S01
B00245,O00245,C15969,P12,1,255,Card,S05
B00246,O00246,C19304,P34,3,720,Cash,S04
B00247,O00247,C2617,P11,1,235,UPI,S04
B00248,O00248,C14493,P23,2,720,Cash,S04
B00249,O00249,C5755,P39,2,600,UPI,S06
B00250,O00250,C6499,P29,2,638,Card,S06
B00251,O00251,C19049,P18,2,690,Card,S05
B00252,O00252,C6067,P08,1,315,Card,S01
B00253,O00253,C19501,P17,2,650,Cash,S05
B00254,O00254,C3498,P40,3,630,UPI,S03
B00255,O00255,C841,P34,3,720,UPI,S01
B00256,O00256,C11122,P27,1,355,Card,S01
B00257,O00257,C3999,P21,1,335,Card,S06
B00258,O00258,C15243,P08,3,945,Card,S06
B00259,O00259,C1854,P29,1,319,UPI,S06
B00260,O00260,C15334,P26,1,335,UPI,S06
B00261,O00261,C18826,P01,2,470,Cash,S06
B00262,O00262,C8994,P07,1,295,Card,S01
B00263,O00263,C8518,P29,3,957,Card,S06
B00264,O00264,C18291,P01,3,705,UPI,S01
B00265,O00265,C18388,P20,3,945,Card,S03
B00266,O00266,C8865,P22,1,340,Cash,S05
B00267,O00267,C7852,P13,3,840,UPI,S07
B00268,O00268,C19361,P07,1,295,UPI,S07
B00269,O00269,C2108,P33,1,370,UPI,S05
B00270,O00270,C9817,P31,1,330,UPI,S04
B00271,O00271,C18038,P11,1,235,UPI,S01
B00272,O00272,C8363,P41,2,440,Cash,S06
B00273,O00273,C8329,P06,1,300,Card,S07
B00274,O00274,C2555,P41,2,440,UPI,S01
B00275,O00275,C10744,P39,2,600,Cash,S04
B00276,O00276,C12033,P02,1,255,Card,S03
B00277,O00277,C10106,P27,1,355,UPI,S07
B00278,O00278,C18238,P11,2,470,Cash,S01
B00279,O00279,C16986,P37,3,780,Cash,S08
B00280,O00280,C2346,P08,3,945,UPI,S01
B00281,O00281,C9703,P13,1,280,Card,S05
B00282,O00282,C6825,P15,1,320,Cash,S05
B00283,O00283,C14289,P25,1,315,UPI,S05
B00284,O00284,C12200,P21,2,670,UPI,S08
B00285,O00285,C12703,P03,1,275,Card,S01
B00286,O00286,C5966,P42,1,280,UPI,S03
B00287,O00287,C7020,P34,2,480,UPI,S06
B00288,O00288,C19301,P09,2,670,UPI,S01
B00289,O00289,C13812,P42,1,280,Cash,S05
B00290,O00290,C12753,P34,2,480,Cash,S01
B00291,O00291,C10437,P24,1,380,Card,S03
B00292,O00292,C6202,P28,2,598,Card,S04
B00293,O00293,C17464,P13,1,280,Card,S07
B00294,O00294,C5507,P42,2,560,UPI,S04
B00295,O00295,C11378,P02,1,255,Cash,S02
B00296,O00296,C5880,P05,2,560,Card,S06
B00297,O00297,C17068,P16,1,305,UPI,S04
B00298,O00298,C15419,P16,2,610,UPI,S02
B00299,O00299,C10107,P37,3,780,Card,S01
B00300,O00300,C12978,P43,3,750,UPI,S01
B00301,O00301,C11175,P27,1,355,Cash,S04
B00302,O00302,C10627,P07,2,590,UPI,S07
B00303,O00303,C1924,P19,1,295,Card,S02
B00304,O00304,C2459,P34,3,720,Cash,S05
B00305,O00305,C7097,P30,1,339,Cash,S01
B00306,O00306,C5842,P33,2,740,Cash,S02
B00307,O00307,C15552,P20,1,315,Card,S08
B00308,O00308,C12731,P26,1,335,UPI,S01
B00309,O00309,C7236,P09,2,670,Cash,S08
B00310,O00310,C620,P38,2,560,UPI,S02
B00311,O00311,C5118,P32,1,350,Cash,S02
B00312,O00312,C8988,P18,3,1035,UPI,S01
B00313,O00313,C14676,P03,1,275,Card,S05
B00314,O00314,C6222,P30,2,678,Cash,S08
B00315,O00315,C16846,P28,2,598,UPI,S06
B00316,O00316,C4727,P14,1,300,Cash,S04
B00317,O00317,C15306,P11,3,705,Card,S08
B00318,O00318,C9669,P43,2,500,Cash,S08
B00319,O00319,C12333,P41,3,660,UPI,S01
B00320,O00320,C9575,P35,1,260,Cash,S06
B00321,O00321,C5961,P07,3,885,Card,S04
B00322,O00322,C19878,P03,3,825,Card,S04
B00323,O00323,C18380,P05,1,280,UPI,S04
B00324,O00324,C12778,P04,3,780,Cash,S03
B00325,O00325,C8815,P28,3,897,Cash,S07
B00326,O00326,C2974,P40,1,210,Cash,S01
B00327,O00327,C6221,P38,1,280,Cash,S03
B00328,O00328,C2170,P02,3,765,Cash,S04
B00329,O00329,C15693,P36,1,280,Card,S06
B00330,O00330,C2684,P29,1,319,Cash,S06
B00331,O00331,C11651,P35,3,780,Card,S07
B00332,O00332,C15735,P01,3,705,UPI,S04
B00333,O00333,C15325,P38,3,840,UPI,S07
B00334,O00334,C1481,P27,1,355,Cash,S02
B00335,O00335,C19337,P22,1,340,Card,S08
B00336,O00336,C4083,P26,3,1005,Cash,S01
B00337,O00337,C1088,P06,2,600,Cash,S04
B00338,O00338,C13562,P40,1,210,Card,S03
B00339,O00339,C14389,P23,2,720,UPI,S02
B00340,O00340,C1017,P35,2,520,UPI,S07
B00341,O00341,C13300,P22,2,680,UPI,S03
B00342,O00342,C16205,P14,3,900,Cash,S07
B00343,O00343,C15315,P35,3,780,Card,S01
B00344,O00344,C15743,P16,2,610,UPI,S03
B00345,O00345,C15241,P36,3,840,Cash,S02
B00346,O00346,C15246,P07,2,590,UPI,S02
B00347,O00347,C660,P36,3,840,Cash,S03
B00348,O00348,C14400,P29,2,638,Card,S03
B00349,O00349,C19223,P26,3,1005,Card,S03
B00350,O00350,C2642,P20,1,315,Card,S03
B00351,O00351,C5959,P40,2,420,UPI,S05
B00352,O00352,C13335,P36,2,560,Cash,S05
B00353,O00353,C8106,P24,3,1140,Card,S01
B00354,O00354,C18947,P02,1,255,UPI,S04
B00355,O00355,C2861,P01,2,470,Cash,S03
B00356,O00356,C1224,P10,1,215,Card,S07
B00357,O00357,C8122,P27,1,355,UPI,S07
B00358,O00358,C5822,P41,1,220,Cash,S03
B00359,O00359,C11482,P14,3,900,UPI,S08
B00360,O00360,C8379,P19,1,295,Cash,S08
B00361,O00361,C19987,P16,1,305,UPI,S07
B00362,O00362,C1487,P32,1,350,Cash,S02
B00363,O00363,C7990,P29,3,957,Card,S07
B00364,O00364,C12773,P10,2,430,Cash,S01
B00365,O00365,C10147,P18,3,1035,Card,S06
B00366,O00366,C3050,P03,2,550,Cash,S05
B00367,O00367,C13880,P10,2,430,Card,S05
B00368,O00368,C2446,P09,3,1005,UPI,S02
B00369,O00369,C11118,P24,3,1140,Card,S05
B00370,O00370,C14601,P36,1,280,Cash,S06
B00371,O00371,C19526,P21,2,670,Card,S06
B00372,O00372,C19942,P32,1,350,Card,S04
B00373,O00373,C9403,P21,1,335,Card,S08
B00374,O00374,C4678,P19,3,885,Cash,S04
B00375,O00375,C16149,P11,3,705,UPI,S05
B00376,O00376,C17098,P31,1,330,UPI,S05
B00377,O00377,C14287,P24,3,1140,Cash,S07
B00378,O00378,C16123,P31,1,330,Cash,S06
B00379,O00379,C7786,P13,2,560,UPI,S05
B00380,O00380,C13817,P22,1,340,Card,S03
B00381,O00381,C9487,P37,2,520,Card,S03
B00382,O00382,C17367,P43,2,500,Cash,S03
B00383,O00383,C10297,P33,3,1110,Card,S01
B00384,O00384,C18023,P35,2,520,Card,S01
B00385,O00385,C9869,P36,2,560,Cash,S02
B00386,O00386,C15808,P03,3,825,Card,S03
B00387,O00387,C7337,P18,3,1035,Cash,S03
B00388,O00388,C2846,P22,2,680,Card,S07
B00389,O00389,C7103,P40,3,630,UPI,S04
B00390,O00390,C12342,P23,2,720,Card,S06
B00391,O00391,C10351,P40,3,630,Card,S05
B00392,O00392,C10066,P12,3,765,UPI,S01
B00393,O00393,C14695,P04,2,520,UPI,S06
B00394,O00394,C10351,P04,2,520,Card,S02
B00395,O00395,C13156,P41,2,440,Cash,S01
B00396,O00396,C3105,P28,3,897,Cash,S08
B00397,O00397,C3107,P16,2,610,Cash,S07
B00398,O00398,C14461,P30,3,1017,Card,S06
B00399,O00399,C7372,P15,1,320,UPI,S08
B00400,O00400,C391,P24,3,1140,Card,S05
B00401,O00401,C14754,P38,2,560,Cash,S01
B00402,O00402,C2135,P20,1,315,Cash,S03
B00403,O00403,C11444,P34,1,240,Cash,S01
B00404,O00404,C4783,P04,3,780,UPI,S08
B00405,O00405,C6889,P28,1,299,Cash,S02
B00406,O00406,C9522,P11,1,235,Cash,S01
B00407,O00407,C8853,P36,3,840,UPI,S05
B00408,O00408,C3576,P25,2,630,Card,S07
B00409,O00409,C11311,P13,2,560,UPI,S03
B00410,O00410,C15800,P18,2,690,Cash,S04
B00411,O00411,C9226,P32,1,350,Cash,S03
B00412,O00412,C12044,P22,2,680,Card,S02
B00413,O00413,C5474,P22,3,1020,Card,S01
B00414,O00414,C16092,P38,1,280,Cash,S05
B00415,O00415,C9626,P04,2,520,Card,S04
B00416,O00416,C17491,P02,1,255,Cash,S03
B00417,O00417,C455,P08,2,630,Cash,S07
B00418,O00418,C4855,P09,1,335,Cash,S06
B00419,O00419,C806,P06,2,600,Cash,S04
B00420,O00420,C9261,P40,3,630,Card,S03
B00421,O00421,C4310,P01,1,235,Cash,S08
B00422,O00422,C1880,P24,2,760,Cash,S05
B00423,O00423,C8519,P07,3,885,UPI,S08
B00424,O00424,C16861,P23,3,1080,UPI,S04
B00425,O00425,C13101,P04,2,520,Card,S01
B00426,O00426,C3287,P36,3,840,Card,S04
B00427,O00427,C15551,P10,3,645,Cash,S02
B00428,O00428,C4639,P23,1,360,UPI,S07
B00429,O00429,C16804,P26,1,335,Cash,S02
B00430,O00430,C12743,P12,1,255,Card,S04
B00431,O00431,C9537,P01,2,470,Card,S04
B00432,O00432,C11865,P32,1,350,Cash,S08
B00433,O00433,C18092,P01,2,470,Cash,S04
B00434,O00434,C19123,P10,1,215,Cash,S07
B00435,O00435,C13317,P31,2,660,UPI,S06
B00436,O00436,C19968,P08,2,630,Card,S02
B00437,O00437,C17984,P34,2,480,UPI,S04
B00438,O00438,C3651,P29,1,319,Cash,S08
B00439,O00439,C6675,P07,3,885,Cash,S01
B00440,O00440,C5268,P04,2,520,UPI,S03
B00441,O00441,C9139,P11,2,470,UPI,S06
B00442,O00442,C184,P17,1,325,Cash,S02
B00443,O00443,C8725,P23,2,720,Card,S06
B00444,O00444,C12161,P09,1,335,UPI,S04
B00445,O00445,C1708,P42,3,840,UPI,S02
B00446,O00446,C11355,P27,2,710,Card,S07
B00447,O00447,C14198,P22,2,680,Card,S05
B00448,O00448,C14841,P02,2,510,Card,S08
B00449,O00449,C5515,P10,2,430,Card,S02
B00450,O00450,C14969,P40,2,420,Card,S05
B00451,O00451,C13161,P25,2,630,Card,S02
B00452,O00452,C16423,P26,1,335,Card,S01
B00453,O00453,C7907,P02,1,255,Card,S04
B00454,O00454,C4162,P14,1,300,UPI,S06
B00455,O00455,C12516,P32,2,700,UPI,S03
B00456,O00456,C18393,P29,2,638,Cash,S05
B00457,O00457,C9254,P37,1,260,UPI,S06
B00458,O00458,C12216,P29,2,638,Card,S03
B00459,O00459,C5740,P32,3,1050,UPI,S05
B00460,O00460,C11243,P03,1,275,Card,S04
B00461,O00461,C18035,P17,3,975,Card,S02
B00462,O00462,C10713,P27,3,1065,Card,S01
B00463,O00463,C7001,P20,2,630,Card,S05
B00464,O00464,C12734,P03,1,275,UPI,S08
B00465,O00465,C8005,P15,3,960,Card,S04
B00466,O00466,C3469,P31,3,990,UPI,S06
B00467,O00467,C1332,P27,2,710,UPI,S06
B00468,O00468,C15801,P18,3,1035,Card,S08
B00469,O00469,C6434,P24,3,1140,UPI,S04
B00470,O00470,C6443,P27,1,355,Card,S02
B00471,O00471,C18564,P36,1,280,Card,S02
B00472,O00472,C18851,P25,2,630,Card,S05
B00473,O00473,C12962,P42,3,840,UPI,S05
B00474,O00474,C16654,P21,3,1005,UPI,S08
B00475,O00475,C2801,P08,1,315,Card,S06
B00476,O00476,C11900,P30,2,678,Cash,S08
B00477,O00477,C11525,P19,2,590,UPI,S02
B00478,O00478,C8364,P36,3,840,UPI,S08
B00479,O00479,C9177,P39,2,600,Card,S06
B00480,O00480,C1467,P33,1,370,Cash,S01
B00481,O00481,C1771,P31,2,660,Card,S06
B00482,O00482,C13531,P06,2,600,Card,S04
B00483,O00483,C12707,P25,1,315,Cash,S03
B00484,O00484,C15498,P04,2,520,Card,S01
B00485,O00485,C9542,P23,2,720,Cash,S03
B00486,O00486,C14875,P17,1,325,UPI,S07
B00487,O00487,C8836,P04,2,520,Cash,S03
B00488,O00488,C5889,P14,2,600,UPI,S01
B00489,O00489,C9660,P03,3,825,UPI,S03
B00490,O00490,C19494,P33,3,1110,Cash,S05
B00491,O00491,C2297,P18,2,690,UPI,S02
B00492,O00492,C9571,P05,2,560,UPI,S05
B00493,O00493,C12509,P05,2,560,Card,S06
B00494,O00494,C17641,P39,1,300,Card,S05
B00495,O00495,C4018,P08,2,630,Cash,S02
B00496,O00496,C2003,P29,2,638,UPI,S02
B00497,O00497,C8215,P24,1,380,UPI,S03
B00498,O00498,C7167,P02,3,765,Card,S07
B00499,O00499,C719,P02,1,255,UPI,S01
B00500,O00500,C12911,P03,2,550,Card,S08
B00501,O00501,C10222,P21,2,670,Cash,S01
B00502,O00502,C5195,P26,2,670,Card,S03
B00503,O00503,C9302,P04,1,260,UPI,S07
B00504,O00504,C7306,P05,3,840,Cash,S06
B00505,O00505,C213,P23,3,1080,Card,S07
B00506,O00506,C12242,P19,2,590,Cash,S02
B00507,O00507,C15931,P02,3,765,Cash,S05
B00508,O00508,C12764,P40,1,210,UPI,S02
B00509,O00509,C15663,P37,3,780,Cash,S07
B00510,O00510,C14832,P32,2,700,UPI,S07
B00511,O00511,C1729,P23,3,1080,Cash,S07
B00512,O00512,C9144,P06,2,600,UPI,S07
B00513,O00513,C19593,P06,2,600,Cash,S07
B00514,O00514,C19484,P26,3,1005,Cash,S06
B00515,O00515,C6304,P13,3,840,UPI,S06
B00516,O00516,C3747,P32,1,350,Card,S08
B00517,O00517,C4239,P16,1,305,Cash,S01
B00518,O00518,C8634,P33,3,1110,UPI,S02
B00519,O00519,C3448,P04,1,260,Cash,S01
B00520,O00520,C13023,P43,1,250,Cash,S03
B00521,O00521,C10488,P16,2,610,Cash,S04
B00522,O00522,C13465,P28,2,598,Card,S05
B00523,O00523,C13421,P31,3,990,Cash,S05
B00524,O00524,C11124,P10,3,645,UPI,S05
B00525,O00525,C14646,P18,3,1035,Card,S04
B00526,O00526,C12749,P15,2,640,UPI,S08
B00527,O00527,C5721,P13,2,560,Card,S04
B00528,O00528,C5004,P16,2,610,Cash,S02
B00529,O00529,C9793,P38,3,840,Card,S01
B00530,O00530,C1973,P13,3,840,UPI,S05
B00531,O00531,C14633,P03,3,825,Card,S08
B00532,O00532,C18037,P35,1,260,Cash,S03
B00533,O00533,C10044,P26,2,670,Cash,S04
B00534,O00534,C15847,P12,1,255,Card,S04
B00535,O00535,C18406,P23,2,720,Cash,S06
B00536,O00536,C13081,P34,3,720,Cash,S02
B00537,O00537,C13388,P26,3,1005,Cash,S05
B00538,O00538,C11324,P11,3,705,Cash,S03
B00539,O00539,C16768,P09,1,335,UPI,S06
B00540,O00540,C2535,P06,3,900,Cash,S05
B00541,O00541,C5524,P23,3,1080,Card,S05
B00542,O00542,C9371,P30,3,1017,Cash,S03
